	BIGG	RHEA	EC-number
0	G1PPpp	19933	3.1.3.10
0	G1PTT	15225	2.7.7.24
0	G1SAT	14265	5.4.3.8
0	G3PAT141	15325	2.3.1.15
0	G3PAT160	15325	2.3.1.15
0	G3PAT180	15325	2.3.1.15
0	G3PD5	28751	2.3.1.15
0	G3PItex	32915	
0	G3PT	15017	3.1.3.2
0	G6PDA	12172	3.5.99.6
0	G6PDH2r	15841	1.1.1.363
0	G6PP	16689	3.1.3.58
0	GALCTD	16005	4.2.1.42
0	GALM2pp	28675	5.1.3.3
0	GALabcpp		3.6.3.17
0	GALt2pp	29019	
0	GART	24829	2.1.2
0	GBBTNtex	32835	
0	GDMANE		5
0	GDPMNP	27978	3.6.1.-
0	GGGABAH	19737	3.5.1.94
0	GHMT2r	15481	2.1.2.1
0	GLCP2	41732	2.4.1.1
0	GLCRAL	27726	4.1.2.20
0	GLCRD	14573	4.2.1.40
0	GLCS1	18189	2.4.1.21
0	GLDBRAN2		2.4.1.18
0	GLGC	12120	2.7.7.27
0	GLNS	16169	6.3.1.2
0	GLUCYS	13285	6.3.2.2
0	GLUDC	17785	4.1.1.15
0	GLUNpp	15889	1.4.1.13
0	GLUPRT	14905	2.4.2.14
0	GLUR	12813	5.1.1.3
0	GLUSy	15501	1.4.1.13
0	GLUTRS		6.1.1
0	GLUabcpp	29035#1	3.6.3.21
0	GLXCL	10136	4.1.1.47
0	GLYBabcpp	32783	
0	GLYBtex	28943	
0	GLYC3Pt6pp	29015	
0	GLYCDx	13769	1.1.1.6
0	GLYCK	23516	2.7.1.31
0	GLYCK2	27377	2.7.1.165
0	GLYCL	27758	1.4.4.2
0	GLYCLTDx	18229	1.1.1.26
0	GLYCLTtex	29447	
0	GLYCtex	29675	
0	GLYK	21644	2.7.1.30
0	GLYOX	25245	3.1.2.6
0	GLYOX3	27754	4.2.1.130
0	GLYt2pp	28899	
0	GMAND	23820	4.2.1.47
0	GMHEPAT	27465	2.7.7.70
0	GMPR	17185	1.7.1.7
0	GMPS2	11680	6.3.5.2
0	GND	10116	1.1.1.351
0	GP4GH	30203	1.1.1.351
0	GPDDA1pp	16061	3.1.4.2
0	GPDDA2	29319	3.1.4.2
0	GPDDA3	29875	3.1.4.46
0	GPDDA3pp	29875	3.1.4.46
0	GPDDA4	12969	3.1.4.46
0	GPDDA4pp	12969	3.1.4.46
0	GPDDA5	16501	3.1.4.44
0	GPDDA5pp	16501	3.1.4.44
0	GRTT	19361	2.5.1.10
0	GRXR	21064	1.8.4.2
0	GSNK	27710	2.7.1.73
0	GSPMDA	17173	3.5.1.-
0	GTHOr	11740	1.8.1.7
0	GTHRDabc2pp	29787	
0	GTHRDabcpp	29787	
0	GTHS	13557	6.3.2.3
0	GTPCI	17473	3.5.4.16
0	GTPCII2	23704	3.5.4.25
0	GTPDPK	22088	2.7.6.5
0	GUAPRT	25424	2.4.2.22
0	GUI1	13049	5.3.1.12
0	GUI2	13049	5.3.1.12
0	HACD4	31187	1.1.1.211
0	HACD5	31179	1.1.1.211
0	HACD7	31159	1.1.1.211
0	HBZOPT	27782	2.5.1.39
0	HCYSMT	21820	2.1.1
0	HCYSMT2	26337	2.1.1.10
0	HEMEOS	28070	2.5.1.-
0	HEPT2	28538	2
0	HEX4	11028	2.7.1.1
0	HISTD	20641	1.1.1.23
0	HISabcpp	29891#1	3.6.3.21
0	HISt2rpp	37047	
0	HMBS	13185	2.5.1.61
0	HOPNTAL		4.1.2
0	HPPPNDO	23840	1.13.11.16
0	HPPPNt2rpp	28907	
0	HPYRRx	17905	1.1.1.26
0	HSK	13985	2.7.1.39
0	HSST	22008	2.3.1.46
0	HSTPT	23744	2.6.1.9
0	HYD3pp		1.18.99.1
0	HYPOE	25135	3.1.3.74
0	Htex	34979	
0	ICHORS	18985	5.4.4.2
0	IDOND	21172	1.1.1.264
0	IDOND2	21176	1.1.1.264
0	IG3PS	24793	2.4.2.-
0	IGPDH	11040	4.2.1.19
0	IGPS	23476	4.1.1.48
0	ILETA	24801	2.6.1.42
0	IMPD	11708	1.1.1.205
0	INDOLEt2pp	29227	
0	INSK	21140	2.7.1.73
0	IPDPS		1.17.1.2
0	IPMD	10892	1.1.1.85
0	IPPMIa	10676	4.2.1.33
0	IPPMIb	16293	4.2.1.33
0	IPPS	21524	2.3.3.13
0	KARA2	13493	1.1.1.86
0	KDOPP	11500	3.1.3.45
0	Kabcpp	16777#1	3.6.3.10
0	Kt2pp	28490	
0	Kt3pp	29467	
0	Ktex	29463	
0	L_LACD3	19909	1.1.2.3
0	LACZ	10076	3.2.1.108
0	LALALGLUtex	35135	
0	LALALGLUtpp	35131	
0	LALDO3	21748	1.1.1.283
0	LALGP	29335	3.4.13.18
0	LCADi	14277	1.2.1.22
0	LCTSt3ipp	28863	
0	LCTStpp	28867	
0	LDH_D2	29079	
0	LEUTAi	18321	2.6.1.42
0	LEUTRS	11688	6.1.1.4
0	LGTHL	19069	4.4.1.5
0	LIPATPT	12913	2.7.7.63
0	LIPAabcpp	35251	
0	LPLIPAL1A140pp	15177	3.1.1.5
0	LPLIPAL1A141pp	15177	3.1.1.5
0	LPLIPAL2A120	15177	3.1.1.5
0	LPLIPAL2E160	15177	3.1.1.5
0	LPLIPAL2E180	15177	3.1.1.5
0	LYSTRS	20792	6.1.1.6
0	LYSabcpp	29887#1	3.6.3.21
0	MACPD		2.3.1
0	MALCOAMT	34899	
0	MALS	18181	2.3.3.9
0	MALTTTRabcpp		3.6.3
0	MALTabcpp	22132#1	3.6.3.19
0	MAN1PT2	12905	2.7.7.22
0	MANPGH	58456	3.2.1.170
0	MDDCP1pp		3.4.16.4
0	MDDCP2pp		3.4.16.4
0	MDDCP4pp		3.4.16.4
0	MDDCP5pp		3.4.16.4
0	MDH2	29083	
0	MDH3	29087	
0	ME1	12653	1.1.1.38
0	MECDPS	23864	4.6.1.12
0	MEPCT	13429	2.7.7.60
0	METAT	21080	2.5.1.6
0	METDabcpp	29767	2.5.1.6
0	METDtex	34911	
0	METTRS	13481	6.1.1.10
0	METabcpp	29779	6.1.1.10
0	MG2tex	29827	
0	MG2tpp	29827	
0	MG2uabcpp	10260#1	3.6.3.2
0	MGSA	17937	4.2.3.3
0	MINCYCtex	35167	
0	MLDCP1Bpp	48688	3.4.17.13
0	MLDCP3App	48688	3.4.17.13
0	MLTG1		3.2.1.20
0	MLTG5		3.2.1.20
0	MLTP1	29647	2.4.1.1
0	MMCD	21396	4.1.1.41
0	MN2tpp	28699	
0	MNt2pp	29007	
0	MNtex	28699	
0	MOAT	28066	2.4.99.12
0	MOBDtex	34907	
0	MOHMT	11824	2.1.2.11
0	MOX	10512	1.1.5.4
0	MSAR	26438	1.1.1.-
0	MTAN	13617	3.2.2.16
0	MTHFR2	19821	1.5.1.20
0	NACODA	30503	
0	NADH16pp		1.6.5.3
0	NADH17pp		1.6.5.3
0	NADH18pp		1.6.5.3
0	NADH5	29107	
0	NADH9	30507	
0	NADK	18629	2.7.1.23
0	NADTRHD	11692	1.6.1.1
0	NAt3_2pp	29251	
0	NDPK1	27686	2.7.4.6
0	NDPK2	25098	2.7.4.6
0	NDPK3	25237	2.7.4.6
0	NDPK5	27690	2.7.4.6
0	NDPK6	28582	2.7.4.6
0	NH4tpp	28747	
0	NI2tpp	29831	
0	NI2uabcpp	15557#1	3.6.3.24
0	NMNDA	12400	3.5.1.42
0	NMNN	23140	3.2.2.14
0	NMNPtpp	28482	
0	NNAM	14545	3.5.1.19
0	NNATr	22860	2.7.7.1
0	NO3R1bpp	29123	
0	NO3R2pp	29139	
0	NO3tex	34923	
0	NTD10	28530	3.1.3.5
0	NTD10pp	28530	3.1.3.5
0	NTD11pp	27718	3.1.3.5
0	NTD2	29359	3.1.3.5
0	NTD4	29367	3.1.3.5
0	NTD4pp	29367	3.1.3.5
0	NTD5	11080	3.1.3.35
0	NTD6	29371	3.1.3.5
0	NTD6pp	29371	3.1.3.5
0	NTD7	29375	3.1.3.5
0	NTD7pp	29375	3.1.3.5
0	NTD8	29379	3.1.3.5
0	NTD8pp	29379	3.1.3.5
0	NTD9	27714	3.1.3.5
0	NTD9pp	27714	3.1.3.5
0	NTP1	13065	3.6.1.15
0	NTP10	28330	3.6.1
0	NTP3pp	19669	3.6.1.15
0	NTP5	29387	3.6.1.15
0	NTPP1	28362	3.6.1.-
0	NTPP3	22636	3.6.1.12
0	NTPP6	14245	3.6.1.8
0	NTPP7	28534	3.6.1.19
0	NTPP8	29395	3.6.1.8
0	NTPTP1	15193	3.1.5.1
0	NTPTP2	30559	
0	NTRIR2x	24628	1.7.1.15
0	NTRIR4pp	29163	
0	OBTFL	28054	2.3.1
0	OCDCEAtexi	33655	
0	OCTDPS	27798	2.5.1.90
0	OHPHM	27770	2.1.1.222
0	OMCDC	25078	1.1.1.85
0	OP4ENH	22580	4.2.1.80
0	OPHBDC	27778	4.1.1.98
0	ORNDC	22964	4.1.1.17
0	ORNabcpp	29883#1	3.6.3.21
0	OROTt2_2pp	29347	
0	OXCOAHDH	34875	
0	OXDHCOAT	34439	2.3.1.223
0	P5CD	16417	1.2.1.88
0	P5CR	14109	1.5.1.2
0	PANTS	10912	6.3.2.1
0	PAPA160	27429	3.1.3.4
0	PAPSR	11724	1.8.4.8
0	PDE1	25277	3.1.4.17
0	PDE4	16957	3.1.4.17
0	PEAMNtex	29743	
0	PFK	16109	2.7.1.11
0	PGAMT	23424	5.4.2.10
0	PGCD	12641	1.1.1.95
0	PGI	11816	5.3.1.9
0	PGL	12556	3.1.1.31
0	PGLYCP	14369	3.1.3.18
0	PGPP120pp	33751	3.1.3.27
0	PGPP160	33751	3.1.3.27
0	PGPP161	33751	3.1.3.27
0	PGPP161pp	33751	3.1.3.27
0	PGPP180	33751	3.1.3.27
0	PGSA160	12593	2.7.8.5
0	PGSA181	12593	2.7.8.5
0	PHETA1	25152	2.6.1.1
0	PItex	32823	
0	PIuabcpp	24440#1	3.6.3.27
0	PLIPA1A120pp	18689	3.1.1.32
0	PLIPA1E160pp	18689	3.1.1.32
0	PLIPA2A120pp	15801	3.1.1.4
0	PLIPA2A140pp	15801	3.1.1.4
0	PLIPA2A141pp	15801	3.1.1.4
0	PLIPA2A180pp	15801	3.1.1.4
0	PMDPHT	25197	3.1.3.-
0	PMEACPE	42700	3.1.1.85
0	PNTK	16373	2.7.1.33
0	PNTOt4pp	29927	
0	POX	29167	
0	PPBNGS	24064	4.2.1.24
0	PPC	23072	4.1.1.31
0	PPCDC	16793	4.1.1.36
0	PPCK	18617	4.1.1.49
0	PPCSCT	23520	2.8.3.1
0	PPNDH	21648	4.2.1.51
0	PPPGO3	25576	1.3.3.4
0	PPPNDO	20357	1.14.12.19
0	PPPNtex	29747	
0	PPS	11364	2.7.9.2
0	PRAGSr	17453	6.3.4.13
0	PRAIS	23032	6.3.3.1
0	PRAIi	21540	5.3.1.24
0	PRATPP	22828	3.6.1.31
0	PRFGS	17129	6.3.5.3
0	PSCVT	21256	2.5.1.19
0	PSD120	20828	4.1.1.65
0	PSD160	20828	4.1.1.65
0	PSD181	20828	4.1.1.65
0	PSERT	14329	2.6.1.52
0	PSP_L	21208	3.1.3.3
0	PSSA160	16913	2.7.8.8
0	PSSA180	16913	2.7.8.8
0	PSSA181	16913	2.7.8.8
0	PTA2	28046	2.3.1.222
0	PTAr	19521	2.3.1.8
0	PTHRpp	30579	3.1.3
0	PTRCORNt7pp	28827	
0	PTRCabcpp	29995#1	3.6.3.31
0	PUNP1	27642	2.4.2.1
0	PUNP3	13233	2.4.2.1
0	PUNP4	27738	2.4.2.1
0	PUNP5	27646	2.4.2.1
0	PYDXNtex	28470	
0	PYDXtex	28462	
0	PYK	18157	2.7.1.40
0	PYNP2r	24388	2.4.2.2
0	QMO2	29175	
0	QMO3	29183	
0	QUIN2tex	35195	
0	QUIN2tpp	35195	
0	R15BPK	20109	2.7.4.23
0	R1PK	29775	
0	RBFK	14357	2.7.1.26
0	RBK	13697	2.7.1.15
0	RBK_L1	22072	2.7.1.16
0	RBP4E	22368	5.1.3.4
0	RFAMPtex	35231	
0	RHCCE	17753	4.4.1.21
0	RIBabcpp	29903#1	3.6.3.17
0	RMK	20117	2.7.1.5
0	RNDR2	23252	1.17.4.1
0	RNDR3	23252	1.17.4.1
0	RPI	14657	5.3.1.6
0	SADH	19533	3.5.3.23
0	SBTPD	19837	1.1.1.140
0	SDPTA	11960	2.6.1.17
0	SELGTHR	34903	
0	SELNPS	18737	2.7.9.3
0	SELtex	34887	
0	SERASr	28570	
0	SERAT	24560	2.3.1.30
0	SERD_L	19169	4.3.1.15
0	SERtex	35031	
0	SFGTHi	14961	3.1.2.12
0	SHCHF	24360	4.99.1.4
0	SHK3Dr	17737	1.1.1.25
0	SHSL1	20397	2.5.1.48
0	SKMt2pp	28971	
0	SLNTtex	34891	
0	SO4t2pp	28574	
0	SO4tex	34983	
0	SOTA	16953	2.6.1.81
0	SPMDAT1	28150	2.3.1.57
0	SPMDAT2	28270	2.3.1.57
0	SPMS	12721	2.5.1.16
0	SPODMpp	20696	1.15.1.1
0	SUCBZS	10196	4.2.1.113
0	SUCOAS	17661	6.2.1.5
0	TAGURr	17813	1.1.1.58
0	TALA	17053	2.2.1.2
0	TDPDRE	16969	5.1.3.13
0	TDSK	20700	2.7.1.130
0	THFAT	34767	2.1.2.10
0	THRA	19625	4.1.2.48
0	THRD	13161	1.1.1.103
0	THRD_L	22108	4.3.1.19
0	THRTRS	24624	6.1.1.3
0	THRt2rpp	28883	
0	TKT2	27626	2.2.1.1
0	TMAOR1	29279	
0	TMDPP	16037	2.4.2.2
0	TPI	18585	5.3.1.1
0	TRDR		1.6.4.5
0	TREH	20868	3.2.1.28
0	TREHpp	20868	3.2.1.28
0	TREtex	17629	
0	TRPS2	26434	4.2.1.122
0	TRPS3	14081	4.1.2.8
0	TRPTRS	24080	6.1.1.2
0	TRPt2rpp	28879	
0	TSULabcpp	29871#1	3.6.3.25
0	TSULtex	32807	
0	TUNGSabcpp	35027#2	3.6.3.55
0	TYRL	26361	4.1.99.19
0	TYROXDApp	30591	1.4.3.21
0	TYRt2rpp	28875	
0	UAAGDS	23676	6.3.2.13
0	UACMAMO	25780	1.1.1.336
0	UAG2E	17213	5.1.3.14
0	UAGAAT	13925	2.3.1.129
0	UAGDP	13509	2.7.7.23
0	UAMAGS	16429	6.3.2.9
0	UAMAS	23372	6.3.2.8
0	UAPGR	12248	1.3.1.98
0	UDPG4E	22168	5.1.3.2
0	UDPGALM	24132	5.4.99.9
0	UDPGALPpp		3.6.1.45
0	UDPGDC	24702	1.1.1.305
0	UDPGPpp	29555	3.6.1.45
0	UDPKAAT	24710	2.6.1.87
0	UGLT	13989	2.7.7.12
0	UGLYCH	19809	3.5.1.116
0	UGMDDS	16085	6.3.2.10
0	UPP3MT	32459	2.1.1.107
0	UPPDC1	19865	4.1.1.37
0	URACPAH	31591	3.5.1.110
0	USHD	25213	3.6.1.54
0	VALTA	24813	2.6.1.42
0	VALTRS	10704	6.1.1.9
0	VALabcpp	29803	
0	VALtex	29703	
0	VPAMTr	22912	2.6.1.66
0	XANt2pp	29663	
0	XTSNt2rpp	28939	
0	XYLI2	28546	5.3.1.5
0	XYLabcpp	29899	
0	XYLt2pp	28959	
0	ZN2abcpp	20621	3.6.3.5
0	ZNabcpp	29795	3.6.3.5
0	Zn2tex	29351	
0	2DGLCNRy	16653	1.1.1.215
0	BTS4	22060	2.8.1.6
0	FDH4pp_1	21520	1.2.2.1
0	HACD1i	30799	1.1.1.35
0	HACD2i	31143	1.1.1.211
0	HACD4i	31187	1.1.1.211
0	HACD6i	31167	1.1.1.211
0	HACD7i	31159	1.1.1.211
0	MDRPD	15549	4.2.1.109
0	MTRI	19989	5.3.1.23
0	MTRK	22312	2.7.1.100
0	NPHS	15525	4.1.3.36
0	OXGDC2	10524	4.1.1.71
0	URIDK2r	30655	2.7.4.13
0	2DOXG6PP	22236	3.1.3.68
0	2HBO	36371	1.1.1.27
0	3DSPHR	22640	1.1.1.102
0	4ABUTtm	35035	
0	AABTN	15897	3.5.1.63
0	AATA	12601	2.6.1.39
0	ACACT4p	31087	2.3.1.16
0	ACACT5p	21036	2.3.1.9
0	ACACT6p	31091	2.3.1.16
0	ACACT7p	18161	2.3.1.155
0	ACACT8p	35279	
0	ACCOACrm	11308	6.4.1.2
0	ACGAM6PS	10292	2.3.1.4
0	ACGAMPM	23804	5.4.2.3
0	ACHBSm	27654	2.2.1.6
0	ACLSm	25249	2.2.1.6
0	ACOAO6p	40183	
0	ACOAO7p	40167	
0	ACONT	10336	4.2.1.3
0	ACtm	27814	
0	ADEt2	28719	
0	ADK1m	12973	2.7.4.3
0	ADK3m	29863	2.7.4.10
0	ADK4m	29867	
0	AGPRim	21588	1.2.1.38
0	AHCi	21708	3.3.1.1
0	AHSERL	10048	2.5.1.49
0	AHSERL2	27822	2.5.1.49
0	AIRCr	10792	4.1.1.21
